frame_num,stage_drive_x,stage_drive_y,stage_geo_x,stage_geo_y,stage_geo_units,cell_id,cell_x,cell_y,cell_vector_x,cell_vector_y
199,-5,0,-13652,1853,25,2,1786,1259,-0.04714740821025443,0.19300559691860147
200,-5,0,-13653,1853,25,2,1784,1260,0.04070216284335275,-0.21517545765141216
201,-5,0,-13653,1853,25,2,1786,1258,-0.5100137862721352,0.16365044144497465
202,-5,0,-13653,1853,25,2,1784,1258,-0.742510814771323,-0.22026656162108788
203,-5,0,-13654,1853,25,2,1786,1258,-0.682505490289351,0.17707150471894695
204,-5,0,-13654,1853,25,2,1786,1258,-0.4357501160652203,0.40208669974126676
205,-5,0,-13654,1853,25,2,1784,1258,-0.13229631928877672,-0.1610286736654416
206,-5,0,-13655,1853,25,2,1786,1258,0.11981023424136644,0.09309916704946769
207,-5,0,-13655,1853,25,2,1784,1258,0.26034175144002225,-0.3569410945649906
208,-5,0,-13655,1853,25,2,1788,1258,0.2806112880470879,0.6351130506743856
209,-5,0,-13655,1853,25,2,1784,1258,0.2106165772579276,-0.06098296286033933
210,-5,0,-13656,1853,25,2,1781,1258,0.09843530652812991,-1.4299552834765108
211,-5,0,-13656,1853,25,2,1778,1257,-0.30962217494116095,-2.8592493228648435
212,-5,0,-13656,1853,25,2,1774,1258,-0.20237575948733713,-4.201980353577209
213,-5,0,-13656,1853,25,2,1770,1258,-0.06659054082347332,-5.081297969002661
214,-5,0,-13657,1853,25,2,1765,1258,0.04843627448826615,-5.672430909099693
215,-5,0,-13657,1853,25,2,1762,1257,-0.18557583713998277,-5.284494694437761
216,-5,0,-13658,1853,25,2,1744,1258,0.006288435862278369,-8.827590935843066
217,-5,0,-13658,1853,25,2,1739,1258,0.1387068962052114,-10.159481024073873
218,-5,0,-13658,1853,25,2,1734,1256,-0.41021225041627196,-9.543959778613337
219,-5,0,-13659,1853,25,2,1730,1259,0.22860802207355724,-7.449906973206973
220,-5,0,-13659,1853,25,2,1722,1258,0.30719980619439746,-6.1490979174604465
221,-5,0,-13659,1853,25,2,1714,1258,0.2700541132206796,-5.793802203199764
222,-5,0,-13659,1853,25,2,1710,1256,-0.4369641058270657,-5.006954542257356
223,-5,0,-13660,1853,25,2,1700,1259,0.0992123725876114,-5.9540748169204765
224,-5,0,-13660,1853,25,2,1690,1258,0.1447721957016016,-7.830836564108537
225,-5,0,-13660,1853,25,2,1686,1258,0.13323241317093434,-7.995318817907625
226,-5,0,-13661,1853,25,2,1682,1258,0.0851848414482207,-6.911860750194657
227,-5,0,-13661,1853,25,2,1669,1258,0.02599608880786819,-7.9798818777372365
228,-5,0,-13661,1853,25,2,1667,1258,-0.023234864682718938,-6.933532103695891
229,-5,0,-13662,1853,25,2,1661,1259,0.2492739272787263,-5.921027630758201
230,-5,0,-13662,1853,25,2,1658,1257,-0.23475209653183934,-4.335966210474405
231,-5,0,-13662,1853,25,2,1656,1258,-0.20314468423967025,-2.5256333531334327
232,-5,0,-13663,1853,25,2,1646,1258,-0.12007609036325118,-3.5007103470547216
233,0,0,-13663,1853,25,2,1643,1256,-0.6259052475408238,-4.033051138683207
234,0,0,-13663,1853,25,2,1638,1258,-0.19221408330288464,-4.695774351218163
235,0,0,-13663,1853,25,2,1640,1256,-0.43096604334546224,-3.1509482946271627
236,0,0,-13663,1853,25,2,1642,1256,-0.4688026023715805,-0.5242855666253474
237,0,0,-13663,1853,25,2,1640,1257,-0.05464741297837589,0.8716640129635622
238,0,0,-13663,1853,25,2,1640,1257,0.2516554434903797,1.587329514786758
239,0,0,-13663,1853,25,2,1638,1256,0.09057080997138073,1.0120965116269889
240,0,0,-13663,1853,25,2,1638,1258,0.5506403235167214,0.3058044559270473
241,0,0,-13663,1853,25,2,1638,1258,0.7074968859434636,-0.2803413198409982
242,0,0,-13663,1853,25,2,1638,1258,0.6050474138590959,-0.6065409669263301
243,0,0,-13663,1853,25,2,1638,1258,0.3518185592423367,-0.6529184298081628
244,0,0,-13663,1853,25,2,1640,1258,0.06901279323792431,0.1104928751169626
245,0,0,-13663,1853,25,2,1640,1257,-0.4496550809365556,0.6117329260294826
246,0,0,-13663,1853,25,2,1638,1257,-0.6778260685777252,0.17908108385945692
247,0,0,-13663,1853,25,2,1640,1258,-0.3341979393532267,0.42250046918261597
248,0,0,-13663,1853,25,2,1638,1257,-0.29339886709008284,-0.13385610184595698
249,0,0,-13663,1853,25,2,1640,1258,0.12318014362112872,0.11685112898785682
250,0,0,-13663,1853,25,2,1638,1258,0.3778314080326242,-0.3427091481248437
251,0,0,-13663,1853,25,2,1640,1257,0.1427378707109244,0.038411402333692224
252,0,0,-13663,1853,25,2,1640,1257,-0.06464896662755681,0.2936723669545943
253,0,0,-13663,1853,25,2,1638,1256,-0.4904250627762406,-0.2157466678971316
254,0,0,-13663,1853,25,2,1640,1258,-0.041340811247461084,0.09238400807580704
255,0,0,-13663,1853,25,2,1642,1258,0.2854204081969089,0.8803602788340883
256,0,0,-13663,1853,25,2,1642,1256,-0.17147286065105738,1.167835584714659
257,0,0,-13663,1853,25,2,1640,1258,0.16014370935067623,0.4187176234166614
