frame_num,track_id,det_bb_top,det_bb_left,det_bb_bottom,det_bb_right,track_x,track_y,track_Vx,track_Vy,track_len,track_value,pose_tip_x,pose_tip_y,pose_left_x,pose_left_y,pose_right_x,pose_right_y,pose_bottom_x,pose_bottom_y,pose_tail1_x,pose_tail1_y,head_x,head_y
15,1,704,1391,827,1557,1474.0104980469,765.5421142578,-0.6543579102,-0.4374694824,16,0,1405.9979248047,814.1468505859,1462.0983886719,804.8078613281,1434.9052734375,765.7113037109,1474.5130615234,765.3143920898,1523.3330078125,728.0687866211,1386,808
16,0,1228,503,1353,692,598.2342529297,1292.2431640625,6.4905090332,-5.7046508789,17,0,678.6599121094,1257.9624023438,625.0974121094,1244.7574462891,654.7905273438,1301.4387207031,598.9845581055,1292.8531494141,546.6483764648,1320.9671630859,690,1250
16,1,702,1394,828,1557,1474.9641113281,765.0261230469,0.4175415039,-0.4897766113,17,0,1409.9625244141,815.4325561523,1464.2841796875,806.0810546875,1432.7340087891,766.6228027344,1474.3782958984,765.1954956055,1520.1496582031,725.0744628906,1391,809
17,0,1223,503,1345,697,601.1811523438,1284.6346435547,4.1281433105,-6.9739379883,18,0,684.380859375,1259.8885498047,633.9404907227,1241.9365234375,654.5495605469,1301.0837402344,601.6124267578,1284.4787597656,545.1989746094,1309.2475585938,694,1252
17,1,699,1395,832,1551,1473.5954589844,765.2590942383,-0.7732543945,-0.0079650879,18,0,1413.4417724609,818.2414550781,1464.9897460938,807.8021240234,1430.2918701172,769.9873046875,1473.4681396484,765.3101806641,1515.5238037109,721.676940918,1394,814
18,0,1219,503,1337,703,603.577331543,1277.9151611328,2.9734802246,-6.8042602539,19,0,689.0793457031,1262.5041503906,641.8751831055,1238.7145996094,654.8794555664,1299.7557373047,603.0096435547,1276.857421875,543.0483398438,1301.2446289063,698,1248
18,1,699,1398,833,1549,1473.3305664063,765.8127441406,-0.434387207,0.3664855957,19,0,1418.2947998047,824.2376708984,1468.5034179688,808.6115722656,1429.3674316406,772.9849853516,1473.1955566406,765.0296630859,1513.8022460938,718.5435791016,1395,819
19,0,1217,504,1330,705,605.0126953125,1272.9027099609,1.9480895996,-5.6096801758,20,0,689.4235229492,1270.0404052734,646.9100341797,1240.2980957031,650.6704101563,1301.0222167969,605.0786132813,1271.9193115234,544.8518066406,1292.9621582031,705,1256
19,1,696,1398,835,1548,1472.9741210938,765.6697998047,-0.3825073242,0.0268859863,20,0,1418.8269042969,826.2923583984,1471.6291503906,807.5402832031,1430.0717773438,772.6031494141,1472.1735839844,764.9771728516,1511.9732666016,716.3373413086,1397,823
20,0,1214,505,1321,707,606.240234375,1267.4482421875,1.4676818848,-5.5061645508,21,0,692.631652832,1268.3338623047,650.3104858398,1235.3178710938,650.7354736328,1297.7218017578,605.7973632813,1266.6323242188,534.7006225586,1283.6102294922,712,1259
20,1,692,1397,839,1547,1472.1479492188,765.5491943359,-0.6782836914,-0.0714416504,21,0,1417.2969970703,831.4690551758,1471.8657226563,812.1262207031,1425.7530517578,775.068359375,1471.8394775391,764.6524047852,1511.0902099609,713.7261352539,1399,826
21,0,1211,500,1316,709,605.3020019531,1263.1105957031,-0.1362609863,-4.7272338867,22,0,694.4768676758,1266.2497558594,651.3095703125,1233.8332519531,650.8038330078,1295.1950683594,605.2446899414,1263.0882568359,534.1651611328,1276.84375,716,1261
21,1,688,1397,841,1545,1471.1174316406,764.7444458008,-0.9131469727,-0.560333252,22,0,1420.923828125,833.8999023438,1474.4765625,811.170715332,1423.9147949219,777.2927856445,1471.1599121094,763.9722900391,1510.0087890625,710.6427612305,1399,828
22,0,1210,498,1313,710,604.2914428711,1260.7208251953,-0.7191467285,-3.1688842773,23,0,692.9248657227,1270.5104980469,655.3011474609,1234.0510253906,647.6735839844,1296.8843994141,604.3753662109,1260.1997070313,530.6693115234,1267.9592285156,719,1262
22,1,689,1397,843,1547,1471.5510253906,765.5460205078,-0.0153198242,0.3476257324,23,0,1420.7780761719,835.2630615234,1474.4421386719,813.9880371094,1423.9632568359,778.8265380859,1470.9610595703,764.7867431641,1508.7239990234,714.3574829102,1400,829
23,0,1209,499,1314,710,604.2680664063,1260.5129394531,-0.255279541,-1.1948852539,24,0,694.4064941406,1267.6900634766,654.6757202148,1234.2906494141,648.9462280273,1295.8898925781,604.3150634766,1260.1514892578,533.7429199219,1268.8854980469,720,1257
23,1,691,1397,845,1545,1471.1339111328,767.4733886719,-0.2831420898,1.4007873535,24,0,1417.7528076172,837.2447509766,1471.1336669922,818.2048950195,1420.2446289063,779.6292724609,1470.9639892578,766.8017578125,1509.2543945313,714.0249633789,1399,829
24,0,1206,502,1318,714,607.0031738281,1261.3295898438,1.7383117676,0.1460571289,25,0,694.7216796875,1260.7868652344,651.7609863281,1230.0981445313,651.8822021484,1293.8011474609,606.608215332,1260.4594726563,539.507019043,1273.5943603516,720,1247
24,1,695,1393,846,1543,1468.7126464844,770.0935058594,-1.7085571289,2.2137145996,25,0,1412.0456542969,837.6524047852,1466.1225585938,821.6171875,1417.4161376953,780.0860595703,1467.6895751953,769.5286865234,1507.447265625,719.1193847656,1397,829
25,0,1202,518,1334,720,616.4353637695,1266.3688964844,6.8675842285,3.4082641602,26,0,708.0581665039,1246.9650878906,655.6252441406,1228.2484130859,669.5584716797,1289.7987060547,616.869140625,1266.7208251953,552.9974365234,1286.1323242188,717,1235
25,1,698,1393,846,1545,1468.5009765625,772.0767822266,-0.7106323242,2.0600891113,26,0,1411.5047607422,837.9165649414,1466.2874755859,823.2409667969,1418.783203125,779.98046875,1467.8156738281,771.6434936523,1508.4820556641,720.5899658203,1397,830
26,0,1199,522,1342,725,623.4507446289,1270.3193359375,6.9660949707,3.7697143555,27,0,708.2078857422,1240.4515380859,652.782043457,1227.9008789063,677.8005371094,1283.1905517578,623.4677124023,1270.3292236328,562.7102050781,1293.4420166016,716,1227
26,1,701,1388,847,1546,1467.1975097656,774.0341796875,-1.1057739258,1.9916687012,27,0,1407.4210205078,838.6568603516,1461.2618408203,829.892578125,1412.8483886719,782.30859375,1466.8566894531,773.7307128906,1510.2607421875,729.5673828125,1388,830
27,0,1195,524,1341,726,626.3542480469,1269.5222167969,4.2576599121,0.7251586914,28,0,707.4822998047,1231.4639892578,650.0107421875,1223.6759033203,683.4665527344,1277.3654785156,626.9067382813,1269.7670898438,566.2076416016,1295.4075927734,717,1220
27,1,705,1380,848,1541,1461.8979492188,776.3814697266,-3.9016723633,2.228729248,28,0,1394.8024902344,837.4543457031,1450.8273925781,832.6589355469,1407.2462158203,781.7078857422,1460.9422607422,775.8020629883,1510.1574707031,728.9873046875,1377,829
28,0,1192,535,1329,732,632.7779541016,1262.9367675781,5.7016906738,-4.1484985352,29,0,717.18359375,1226.1639404297,660.5757446289,1221.5196533203,690.5374755859,1272.5417480469,632.6967773438,1262.5681152344,570.2290649414,1285.1062011719,722,1214
28,1,707,1377,847,1542,1459.1240234375,777.4025878906,-3.1498413086,1.423614502,29,0,1392.0828857422,838.5885009766,1449.0015869141,831.7557373047,1407.2584228516,782.4370727539,1459.18359375,777.0301513672,1509.8521728516,731.0390625,1371,833
29,0,1188,538,1331,734,636.6198730469,1259.3220214844,4.4618835449,-3.7926635742,30,0,715.3319702148,1223.3562011719,662.8459472656,1222.0653076172,690.0635375977,1267.5549316406,636.0335693359,1258.9321289063,574.7290649414,1280.2532958984,727,1205
29,1,709,1372,846,1542,1456.7435302734,777.8315429688,-2.6369018555,0.7605285645,30,0,1387.6254882813,837.9944458008,1445.0858154297,831.764831543,1403.5946044922,781.3984985352,1456.0482177734,776.8929443359,1508.4039306641,731.3659667969,1365,835
30,0,1189,540,1324,732,637.2704467773,1256.2573242188,1.9209899902,-3.3073120117,31,0,707.9173583984,1224.0939941406,662.9652099609,1225.5029296875,683.8035888672,1261.3604736328,637.0738525391,1255.9844970703,573.6596679688,1278.4486083984,728,1204
30,1,710,1364,846,1538,1451.7766113281,778.1480102539,-4.190246582,0.4645080566,31,0,1382.8256835938,837.1864013672,1442.5126953125,829.5004882813,1400.8244628906,779.4487304688,1451.0638427734,777.8904418945,1498.6317138672,734.464050293,1361,832
31,0,1188,544,1319,735,639.4228515625,1253.3625488281,2.0752868652,-3.0322875977,32,0,711.5790405273,1225.0521240234,666.1331787109,1220.6251220703,683.0260009766,1265.1246337891,639.1943969727,1253.1126708984,574.3870849609,1269.826171875,737,1207
31,1,711,1365,845,1538,1450.5216064453,778.153137207,-2.2334594727,0.1582336426,32,0,1383.4304199219,837.1951904297,1445.1545410156,825.1383056641,1405.6838378906,781.5950317383,1450.2125244141,777.9987792969,1498.8054199219,731.6423950195,1363,829
32,0,1188,544,1319,741,642.2495117188,1252.7075195313,2.5762023926,-1.4474487305,33,0,720.5182495117,1218.8269042969,673.763671875,1219.0963134766,687.455078125,1258.9201660156,641.9110107422,1251.8161621094,578.1591186523,1267.2253417969,742,1205
32,1,712,1367,842,1538,1451.4470214844,777.3278808594,-0.1275024414,-0.497467041,33,0,1381.9758300781,837.306640625,1445.1878662109,820.2919311523,1409.1755371094,780.8773193359,1451.5947265625,777.3422241211,1502.6257324219,729.9396972656,1370,826
33,0,1188,542,1321,744,643.4564208984,1253.6899414063,1.6633605957,0.1725463867,34,0,723.7321777344,1218.6313476563,675.7708129883,1218.9642333984,691.694519043,1258.1977539063,643.1588134766,1253.0535888672,580.2506103516,1267.1134033203,743,1200
33,1,716,1366,838,1534,1450.3298339844,776.9576416016,-0.7872924805,-0.412689209,34,0,1379.4722900391,834.3902587891,1442.4533691406,817.2410888672,1409.1721191406,779.4469604492,1450.5810546875,776.3338623047,1497.6102294922,731.8117675781,1371,823
34,0,1185,552,1321,754,651.0299072266,1253.2155761719,5.6034851074,-0.2587280273,35,0,734.9243774414,1212.9866943359,677.4494018555,1217.1197509766,700.5790405273,1259.4555664063,651.2711791992,1253.2010498047,587.9027099609,1272.6115722656,748,1195
34,1,716,1368,837,1535,1451.0106201172,776.5112304688,0.1914672852,-0.4351501465,35,0,1381.4117431641,831.173034668,1445.6142578125,813.3266601563,1414.1379394531,779.0013427734,1451.8626708984,776.5948486328,1499.1245117188,732.7703857422,1380,821
35,0,1183,558,1323,762,659.1583251953,1252.9892578125,7.2867736816,-0.237121582,36,0,743.3210449219,1208.4149169922,684.1411743164,1215.42578125,706.3629150391,1255.5972900391,659.1066894531,1252.0471191406,593.0142822266,1278.474609375,759,1190
35,1,714,1370,837,1538,1453.3005371094,775.6440429688,1.5903930664,-0.7231750488,36,0,1384.4561767578,830.0703125,1449.4700927734,810.6496582031,1418.8629150391,778.6393432617,1453.8168945313,775.5338745117,1498.6772460938,732.296875,1381,821
36,0,1181,559,1324,763,662.3612670898,1252.5629882813,4.564239502,-0.3632202148,37,0,744.0631103516,1205.2192382813,684.1315307617,1215.4029541016,706.7696533203,1255.6123046875,661.7114257813,1251.6695556641,598.0510253906,1279.1156005859,761,1191
36,1,714,1368,837,1539,1453.84765625,775.3552246094,0.8949584961,-0.4336242676,37,0,1383.5238037109,829.6556396484,1448.6329345703,809.2416992188,1417.5407714844,777.8487548828,1453.4027099609,775.1225585938,1497.3681640625,731.0136108398,1378,819
37,0,1180,558,1324,764,662.4813842773,1252.0499267578,1.6014709473,-0.4630737305,38,0,746.6399536133,1203.1197509766,690.0949707031,1213.0313720703,709.5546264648,1251.9609375,662.0789794922,1252.0026855469,599.2509765625,1274.9954833984,764,1193
37,1,711,1368,837,1539,1453.8106689453,774.2304077148,0.2736206055,-0.8944396973,38,0,1384.8884277344,828.3836669922,1447.3901367188,808.2528076172,1417.7081298828,776.5541992188,1453.5943603516,774.3256225586,1496.3184814453,729.3292236328,1377,818
38,0,1179,567,1321,766,665.8957519531,1250.3967285156,2.8100280762,-1.2565307617,39,0,748.5927734375,1202.9965820313,691.1441650391,1213.2396240234,715.460144043,1250.6192626953,665.5506591797,1250.4807128906,607.573425293,1272.8991699219,768,1190
38,1,710,1369,837,1543,1455.5209960938,773.458984375,1.2315063477,-0.8124084473,39,0,1384.9519042969,828.2346191406,1446.3117675781,808.5815429688,1419.1926269531,775.6422729492,1455.3536376953,773.0919189453,1500.5261230469,731.1653442383,1380,818
39,0,1180,572,1320,768,669.6764526367,1249.7850341797,3.4571228027,-0.8265991211,40,0,752.8739013672,1198.0855712891,695.3999633789,1214.3211669922,716.6212158203,1247.5444335938,668.919921875,1248.8675537109,609.7670288086,1274.9353027344,771,1189
39,1,709,1368,838,1541,1455.0631103516,773.2866210938,0.1052856445,-0.3857116699,40,0,1383.7847900391,828.5489501953,1444.9818115234,807.7749023438,1418.8526611328,775.8852539063,1454.9296875,772.6712646484,1499.5609130859,731.3275146484,1378,817
40,0,1176,577,1320,770,673.4083862305,1248.2396240234,3.6403503418,-1.305847168,41,0,753.6744995117,1192.615234375,698.8642578125,1211.8410644531,721.5407104492,1244.5856933594,673.5966796875,1248.5317382813,615.431640625,1274.9283447266,775,1187
40,1,708,1367,837,1542,1454.6671142578,772.6002197266,-0.2289428711,-0.586151123,41,0,1382.7403564453,828.4884033203,1443.8608398438,807.4724731445,1419.6900634766,775.1801757813,1454.3107910156,772.0448608398,1498.0010986328,729.823425293,1377,818
41,0,1175,584,1318,776,679.2622070313,1246.6083984375,5.1159973145,-1.5227661133,42,0,755.0242919922,1191.7739257813,699.6501464844,1213.1966552734,724.3145751953,1242.3764648438,679.1014404297,1246.0639648438,620.8375854492,1276.9057617188,777,1183
41,1,708,1369,836,1544,1455.9846191406,772.0035400391,0.801940918,-0.593170166,42,0,1384.0670166016,828.8029174805,1444.9141845703,805.2183837891,1421.3706054688,775.7936401367,1454.9122314453,771.6365356445,1500.5625,728.9011230469,1377,818
42,0,1169,592,1321,773,682.969543457,1245.021484375,4.1769104004,-1.565612793,43,0,757.9326171875,1182.1320800781,703.9654541016,1204.3395996094,727.2719116211,1231.2882080078,682.6378173828,1245.5701904297,627.0972900391,1278.6492919922,773,1175
42,1,709,1371,835,1542,1456.5716552734,771.8526000977,0.6586303711,-0.2983703613,43,0,1385.9499511719,828.503112793,1445.1829833984,804.4686889648,1422.4296875,775.2163085938,1455.9580078125,770.6954956055,1501.0534667969,731.0885620117,1377,820
43,0,1162,595,1323,770,683.6616210938,1242.7390136719,1.8536682129,-2.0435180664,44,0,755.5881958008,1174.3397216797,699.7400512695,1189.2060546875,733.8346557617,1227.1647949219,683.8212890625,1242.7209472656,628.1607666016,1273.064453125,768,1162
43,1,709,1368,835,1540,1454.8076171875,771.8885498047,-0.9564819336,-0.0754699707,44,0,1383.1580810547,827.8637084961,1441.6323242188,805.7747802734,1418.5405273438,773.6380615234,1454.20703125,770.9528198242,1501.0334472656,730.9869384766,1375,818
44,0,1156,600,1316,771,685.5037841797,1237.173828125,1.8460388184,-4.3912963867,45,0,759.3724365234,1168.37109375,700.1087646484,1181.7789306641,740.4232788086,1224.7862548828,686.079284668,1237.9715576172,636.8828125,1266.5322265625,767,1151
44,1,709,1367,835,1539,1453.2127685547,771.9532470703,-1.382019043,0.0179748535,45,0,1382.9180908203,828.5520629883,1439.9829101563,805.7637939453,1417.3809814453,774.8246459961,1452.951171875,770.6992797852,1501.7662353516,729.9349975586,1375,817
45,0,1151,603,1310,779,690.0874633789,1231.0705566406,3.6711120605,-5.5325317383,46,0,770.1838378906,1171.0111083984,709.4552612305,1175.2969970703,748.2042236328,1222.8110351563,691.1135864258,1231.9851074219,637.6259765625,1265.7086181641,774,1149
45,1,711,1367,836,1538,1452.3327636719,773.1177978516,-1.0474243164,0.7823791504,46,0,1381.3260498047,828.5110473633,1439.5454101563,807.2916259766,1417.1658935547,775.1465454102,1452.310546875,773.0573120117,1500.09765625,734.1322631836,1373,819
46,0,1153,604,1295,786,694.6896362305,1224.3845214844,4.2918395996,-6.301574707,47,0,777.0815429688,1178.8963623047,720.5791625977,1172.8269042969,756.8991088867,1229.5397949219,695.5124511719,1225.3601074219,633.728515625,1257.1206054688,785,1155
46,1,713,1364,837,1539,1451.4462890625,774.7250366211,-0.9401245117,1.3323059082,47,0,1377.8673095703,830.7261962891,1438.4566650391,810.3779296875,1414.1082763672,775.4552612305,1451.1870117188,773.93359375,1498.6671142578,736.1217041016,1371,818
47,0,1153,601,1289,795,698.2453613281,1220.2707519531,3.8011169434,-4.8430786133,48,0,780.7036132813,1184.9354248047,726.4127197266,1174.2165527344,753.9385986328,1230.9797363281,698.3455200195,1220.2110595703,639.5334472656,1245.2561035156,798,1166
47,1,713,1362,839,1533,1448.2514648438,776.0143432617,-2.4431762695,1.3036193848,48,0,1373.3946533203,832.6622314453,1435.8870849609,813.1963500977,1409.591796875,777.7954101563,1448.0981445313,775.8485717773,1495.0708007813,739.1625976563,1367,820
48,0,1155,607,1286,801,703.5115966797,1219.2319335938,4.7778625488,-2.3069458008,49,0,787.3854370117,1188.0678710938,734.5189208984,1172.9581298828,758.0162963867,1231.2169189453,703.6275024414,1219.4851074219,643.1364746094,1245.8781738281,806,1169
48,1,714,1361,840,1531,1445.9521484375,777.0794677734,-2.3473510742,1.1446228027,49,0,1370.4405517578,832.0448608398,1434.5930175781,812.68359375,1407.2399902344,779.8765869141,1445.1938476563,776.9436035156,1493.1468505859,742.6354980469,1362,823
49,0,1152,619,1290,806,711.4473876953,1219.9812011719,6.8831481934,-0.2694702148,50,0,791.8501586914,1183.5368652344,736.9552001953,1174.8454589844,765.0474853516,1227.9217529297,711.2642211914,1219.1413574219,656.8364257813,1246.0263671875,809,1163
49,1,719,1356,841,1532,1443.9011230469,779.5560302734,-2.1497192383,2.0325622559,50,0,1368.5490722656,831.7006835938,1433.0784912109,815.3052978516,1405.2939453125,779.869140625,1443.4722900391,779.2227783203,1491.5803222656,744.4935302734,1359,822
50,0,1147,624,1295,814,718.8326416016,1220.6779785156,7.2178649902,0.3746948242,51,0,802.4943237305,1182.6673583984,740.1231079102,1171.1594238281,771.4336547852,1227.1571044922,717.9644165039,1219.8424072266,667.1537475586,1249.8708496094,809,1161
50,1,721,1353,842,1531,1441.9378662109,781.5221557617,-2.0254516602,1.9882507324,51,0,1369.7681884766,833.1735229492,1433.0506591797,815.5579833984,1403.8931884766,782.0063476563,1441.7310791016,781.4772949219,1491.5858154297,745.2155761719,1362,819
51,0,1144,630,1295,818,724.5126342773,1219.8881835938,6.1925964355,-0.4016723633,52,0,807.5873413086,1177.6606445313,746.5142211914,1166.0708007813,779.940612793,1223.650390625,724.0708007813,1218.9293212891,671.3982543945,1254.1293945313,811,1156
51,1,727,1353,843,1526,1439.6030273438,784.6275634766,-2.231628418,2.7330627441,52,0,1367.9301757813,833.1865234375,1430.0560302734,816.2678222656,1405.4274902344,783.6267089844,1439.5290527344,784.2672119141,1489.1918945313,750.4201660156,1365,815
52,0,1142,633,1295,822,728.3012695313,1218.7465820313,4.5899963379,-0.8949584961,53,0,808.0893554688,1171.5874023438,746.2241821289,1162.9976806641,781.6665039063,1220.6304931641,728.1194458008,1217.9990234375,675.4486694336,1256.3479003906,813,1151
52,1,727,1353,844,1527,1439.3427734375,785.9651489258,-0.9172973633,1.8027648926,53,0,1367.7332763672,830.4799194336,1428.5759277344,819.3167724609,1403.2958984375,784.2127685547,1439.15234375,784.9279785156,1487.0587158203,753.302734375,1361,810
53,0,1141,633,1289,823,729.2227783203,1215.712890625,2.1443786621,-2.3207397461,54,0,809.2502441406,1170.3200683594,748.7418823242,1162.4815673828,782.146484375,1217.716796875,728.8814086914,1214.763671875,675.7744750977,1250.9260253906,811,1148
53,1,726,1354,848,1526,1439.6064453125,787.1920166016,-0.130065918,1.4187927246,54,0,1366.7263183594,832.9450683594,1427.5992431641,825.3656616211,1398.0764160156,784.5375976563,1439.5430908203,787.3430786133,1486.9263916016,755.8892211914,1358,813
54,0,1139,628,1288,827,728.466796875,1213.4730224609,0.2107849121,-2.266784668,55,0,806.994934082,1170.2819824219,748.7796630859,1166.1038818359,778.8087768555,1216.0106201172,727.7141113281,1212.6166992188,670.9211425781,1246.9985351563,817,1144
