frame_num,stage_drive_x,stage_drive_y,stage_geo_x,stage_geo_y,stage_geo_units,cell_id,cell_x,cell_y,cell_vector_x,cell_vector_y
1692,0,0,3055966,347071,25,0,1571,1372,-0.3786593696485185,-0.03436532928512834
1693,0,0,3055966,347071,25,0,1571,1373,-0.1524480048758293,-0.17997855223886716
1694,0,0,3055966,347071,25,0,1570,1373,0.051634351927781014,-0.5279142426348241
1695,0,0,3055966,347071,25,0,1572,1374,0.4790016961119803,-0.013094953121526198
1696,0,0,3055966,347071,25,0,1572,1373,0.3344583282073457,0.35120703547422666
1697,0,0,3055966,347071,25,0,1572,1373,0.1329404722118837,0.5008563168489448
1698,0,0,3055966,347071,25,0,1572,1373,-0.04800416864850526,0.4553539187565778
1699,0,0,3055966,347071,25,0,1572,1372,-0.4602641666562264,0.28689606446494087
1700,0,0,3055966,347071,25,0,1572,1372,-0.6107669152647092,0.08290674712125143
1701,0,0,3055966,347071,25,0,1572,1373,-0.23288876471122116,-0.08475779915572695
1702,-15,0,3055965,347071,25,0,1572,1373,0.10149257008963408,-0.17669564180289365
1703,-15,0,3055946,347071,25,0,1572,1373,0.30511173342333525,-0.1880434391150626
1704,-15,0,3055927,347071,25,0,1572,1373,0.3561116277299319,-0.1395738654990961
1705,-15,0,3055907,347071,25,0,1572,1372,-0.015021934574430518,-0.06377300431813604
1706,-15,0,3055888,347071,25,0,1571,1372,-0.2703088478151828,-0.29158050019605036
1707,-15,0,3055868,347071,25,0,1560,1372,-0.36791703273916176,-3.6635715972518024
1708,-15,0,3055848,347071,25,0,1552,1373,-0.02586765236421945,-7.324893886015275
1709,-15,0,3055828,347071,25,0,1539,1372,-0.07867279039246716,-11.59035132234519
1710,-15,0,3055807,347071,25,0,1532,1372,-0.09203454989456225,-13.199066131072595
1711,-15,0,3055785,347071,25,0,1526,1371,-0.37377741657767416,-12.16544665785998
1712,-15,0,3055767,347071,25,0,1517,1370,-0.7588641982825507,-10.492279029253154
1713,-15,0,3055748,347071,25,0,1507,1368,-1.4007656859912472,-9.173377980452438
1714,-15,0,3055729,347071,25,0,1498,1369,-1.1298670215899405,-8.198133852156184
1715,-15,0,3055711,347071,25,0,1482,1367,-1.2012778500320578,-9.856022806701958
1716,-15,0,3055693,347071,25,0,1463,1366,-1.190882074931916,-13.759738232873406
1717,-15,0,3055675,347071,25,0,1452,1366,-0.8263404098821878,-15.664417561331426
1718,-15,0,3055656,347071,25,0,1430,1364,-0.9232591213826948,-18.898367822852585
1719,-15,0,3055637,347071,25,0,1415,1362,-1.3141244830182826,-19.992622659061613
1720,-15,0,3055617,347071,25,0,1392,1360,-1.793492891257689,-21.660814246689416
1721,-15,-15,3055599,347071,25,0,1383,1360,-1.5910029096479332,-19.030304084022102
1722,-15,-15,3055580,347076,25,0,1370,1360,-0.9719590496267313,-15.379855744948351
1723,-15,-15,3055557,347061,25,0,1362,1359,-0.5470406327238846,-10.610585184112235
1724,-15,-15,3055539,347056,25,0,1348,1358,-0.3854855510747269,-8.288920236293237
1725,-15,-15,3055515,347043,25,0,1338,1356,-0.7567513285978987,-7.177078701931967
1726,-15,-15,3055491,347033,25,0,1324,1359,0.11038802571522288,-8.44566601729946
1727,-15,-15,3055473,347021,25,0,1311,1348,-2.615730833980139,-10.69997733286682
1728,-15,-15,3055453,347009,25,0,1302,1346,-4.339294785572816,-11.768002053903935
1729,-15,-15,3055432,346999,25,0,1281,1335,-7.544001116015853,-15.285218742458735
1730,-15,-15,3055410,346987,25,0,1264,1327,-9.92409521252123,-18.261704801709495
1731,-15,-15,3055387,346972,25,0,1246,1317,-11.612932516318597,-20.266733602672186
1732,-15,-15,3055367,346954,25,0,1225,1305,-12.91123887408121,-21.890233682544388
1733,-15,-15,3055345,346934,25,0,1214,1298,-12.04668166229069,-19.759613633691586
1734,-15,-15,3055325,346912,25,0,1198,1288,-10.827487115350118,-17.14029550938715
1735,-15,-15,3055306,346889,25,0,1180,1278,-9.72580479788669,-15.564684169557909
1736,-15,-15,3055282,346857,25,0,1164,1262,-10.83688573629629,-14.59235098081006
1737,-15,-15,3055262,346832,25,0,1154,1246,-13.163576672294061,-12.534012454443523
1738,-15,-15,3055240,346812,25,0,1138,1226,-16.843187325804298,-12.132971749653898
1739,-15,-15,3055220,346794,25,0,1129,1212,-18.56595858552014,-10.912351731404993
1740,-15,-15,3055196,346777,25,0,1108,1190,-20.802110891665233,-13.084212199209269
1741,-15,-15,3055174,346762,25,0,1086,1169,-22.42678423846719,-17.279250866909482
1742,-15,-15,3055153,346747,25,0,1064,1150,-22.536020309688386,-21.632002674226808
1743,-15,-15,3055132,346732,25,0,1042,1134,-20.651679466636708,-24.78932813708084
1743,-15,-15,3055132,346732,25,1,2026,194,0,0
1744,-15,-15,3055111,346714,25,0,1022,1118,-17.937137036509487,-25.562657519954385
1744,-15,-15,3055111,346714,25,1,2026,194,0,0
1745,-15,-15,3055090,346694,25,0,1006,1106,-14.255816224467592,-23.23519083197955
1745,-15,-15,3055090,346694,25,1,2026,194,0,0
1746,0,-15,3055068,346672,25,0,992,1093,-11.302146788697994,-18.83540690080329
1746,0,-15,3055068,346672,25,1,2026,194,0,0
1747,0,-15,3055063,346644,25,0,984,1084,-8.543934147049912,-12.504936078738913
1747,0,-15,3055063,346644,25,1,2026,194,0,0
1748,0,-15,3055063,346619,25,0,972,1068,-8.850005053781272,-7.922125679672197
1749,0,-15,3055063,346597,25,0,958,1052,-11.209253172358897,-6.537520696423851
