frame_num,track_id,det_bb_top,det_bb_left,det_bb_bottom,det_bb_right,track_x,track_y,track_Vx,track_Vy,track_len,track_value,pose_tip_x,pose_tip_y,pose_left_x,pose_left_y,pose_right_x,pose_right_y,pose_bottom_x,pose_bottom_y,pose_tail1_x,pose_tail1_y,head_x,head_y
0.0,0.0,1252.0,459.0,1389.0,640.0,549.5,1320.5,0.0,0.0,1.0,0.0,632.8211669921875,1282.1143798828125,581.010986328125,1273.4227294921875,600.8616943359375,1322.622314453125,549.0751342773438,1319.9444580078125,504.56427001953125,1352.5892333984375,614.0,1260.0
0.0,1.0,712.0,1390.0,805.0,1587.0,1488.5,758.5,0.0,0.0,1.0,0.0,1397.340576171875,782.12890625,1456.3795166015625,798.1310424804688,1441.3785400390625,734.1995239257812,1488.1387939453125,757.9546508789062,1552.3294677734375,737.361083984375,1381.0,772.0
1.0,0.0,1250.0,462.0,1386.0,644.0,553.0,1318.0,3.5,-2.5,2.0,0.0,631.899169921875,1278.3880615234375,582.536376953125,1271.4835205078125,600.9962158203125,1317.9775390625,552.8814697265625,1317.754638671875,504.3878479003906,1346.4886474609375,617.0,1259.0
1.0,1.0,711.0,1387.0,804.0,1585.0,1486.0,757.5,-2.5,-1.0,2.0,0.0,1395.69921875,780.1832275390625,1453.875244140625,796.9874267578125,1438.3172607421875,734.003173828125,1485.61328125,756.445556640625,1549.2926025390625,737.6946411132812,1378.0,770.0
2.0,0.0,1249.0,464.0,1380.0,650.0,556.875,1314.75,3.75,-3.0,3.0,0.0,636.0634765625,1273.0875244140625,583.8978271484375,1269.675537109375,606.7252197265625,1313.673095703125,556.201904296875,1314.090087890625,499.67169189453125,1353.5028076171875,636.0,1252.0
2.0,1.0,710.0,1384.0,803.0,1585.0,1484.25,756.5,-2.0,-1.0,3.0,0.0,1394.0009765625,780.1314697265625,1452.37548828125,796.5543212890625,1436.9212646484375,733.8272094726562,1483.5306396484375,755.3610229492188,1548.125,737.0868530273438,1376.0,769.0
3.0,0.0,1248.0,456.0,1376.0,658.0,557.90625,1311.9375,1.9375,-2.875,4.0,0.0,639.6749267578125,1274.4249267578125,586.6535034179688,1270.886962890625,604.1510009765625,1311.61572265625,557.322265625,1311.22412109375,496.45294189453125,1347.82470703125,642.0,1246.0
3.0,1.0,709.0,1383.0,804.0,1584.0,1483.1875,756.25,-1.375,-0.5,4.0,0.0,1392.5546875,783.5613403320312,1452.400634765625,796.8392944335938,1435.227783203125,735.0394287109375,1482.5277099609375,755.3530883789062,1544.0714111328125,736.9602661132812,1374.0,770.0
4.0,0.0,1248.0,455.0,1370.0,657.0,556.9609375,1309.015625,0.015625,-2.90625,5.0,0.0,636.4763793945312,1275.3553466796875,581.056396484375,1270.4910888671875,598.4119873046875,1313.341552734375,556.085693359375,1309.0068359375,495.3897705078125,1341.561767578125,644.0,1247.0
4.0,1.0,707.0,1381.0,806.0,1584.0,1482.328125,756.3125,-1.03125,-0.125,5.0,0.0,1390.96240234375,786.4874877929688,1450.57958984375,797.83203125,1433.3663330078125,738.3924560546875,1481.711669921875,755.5466918945312,1539.8251953125,736.0808715820312,1374.0,774.0
