frame_num,stage_drive_x,stage_drive_y,stage_geo_x,stage_geo_y,stage_geo_units,cell_id,cell_x,cell_y,cell_vector_x,cell_vector_y
542,0,0,157630,14111,25,2,1995,1464,0.5050870895495565,-0.5049753858422997
542,0,0,157630,14111,25,6,135,1505,-0.08962828764829217,-0.38242890745251834
542,0,0,157630,14111,25,8,1354,64,-0.09070514677318939,-0.18898748406202195
543,0,0,157629,14110,25,2,1994,1463,0.1340311740063045,-0.38731911476370956
543,0,0,157629,14110,25,6,135,1506,0.34609288284577877,-0.2963756135157298
543,0,0,157629,14110,25,8,1356,64,-0.14505526305023478,0.42897219578640067
544,0,0,157626,14106,25,2,1978,1457,-1.9659173190759247,-4.988763990579632
544,0,0,157626,14106,25,6,116,1498,-1.8527301626621457,-5.847225623705265
544,0,0,157626,14106,25,8,1339,55,-2.8395837655290954,-4.367147687055604
545,0,0,157627,14108,25,2,1928,1430,-10.946106068510721,-21.71314620647686
545,0,0,157627,14108,25,6,86,1462,-13.63608724571909,-16.978652943726363
545,0,0,157627,14108,25,8,1296,29,-11.67387858760557,-19.314287298928296
546,0,0,157630,14111,25,2,1948,1445,-9.448406372561863,-20.90626989566181
546,0,0,157630,14111,25,6,96,1483,-11.49361103014321,-16.677056184623222
546,0,0,157630,14111,25,8,1316,38,-11.655721386777431,-17.982998837560693
547,0,0,157630,14111,25,2,1988,1460,-1.0654946736290416,-2.069575509392763
547,0,0,157630,14111,25,6,126,1502,-0.8457943701971313,-2.4628215978640533
547,0,0,157630,14111,25,8,1352,58,-2.1462949301645047,-0.8561972633351829
548,0,0,157630,14111,25,2,1992,1461,5.422191917712666,12.936983213813384
548,0,0,157630,14111,25,6,132,1505,7.761415602824263,10.025989092226581
548,0,0,157630,14111,25,8,1352,61,6.0541920685138955,11.389423017623223
549,0,0,157630,14111,25,2,1994,1462,8.636914956338067,20.16047935591368
549,0,0,157630,14111,25,6,132,1504,11.158037903092008,15.760359847622052
549,0,0,157630,14111,25,8,1352,61,9.978275347034606,16.5445303090072
550,0,0,157630,14111,25,2,1994,1460,7.696146596474408,19.168782848609833
550,0,0,157630,14111,25,6,132,1505,10.4882621423518,15.046311422112264
550,0,0,157630,14111,25,8,1353,61,9.73165103788872,15.489746320273866
551,0,0,157630,14111,25,2,1994,1461,5.0287647656275105,12.72396043891419
551,0,0,157630,14111,25,6,133,1505,6.872940467128115,10.332584097621734
551,0,0,157630,14111,25,8,1354,62,6.939518710119987,10.40447363207834
552,0,0,157630,14111,25,2,1994,1461,1.6529680543463878,4.395396620452988
552,0,0,157630,14111,25,6,132,1505,2.280333154333107,3.6331997411918424
552,0,0,157630,14111,25,8,1352,62,2.903170467645877,3.1234406607179617
